code,hex0,hex1,hex2,hex3,hex4,L0,a0,b0,L1,a1,b1,L2,a2,b2,L3,a3,b3,L4,a4,b4,tags,likes
fcf9eabadfdbffa4a4ffbdbd,#FCF9EA,#BADFDB,#FFA4A4,#FFBDBD,#FCF9EA,0.9803914451861007,-0.002613728182791597,0.019679972645629484,0.8759558728100082,-0.038750892056467645,-0.005852071397601022,0.8091479338871718,0.10199213217936287,0.03642026591056369,0.8586639965334041,0.07240183392668875,0.024494071424203567,0.9803914451861007,-0.002613728182791597,0.019679972645629484,pastel,7445
d97d55f4e9d7b8c4a96fa4af,#D97D55,#F4E9D7,#B8C4A9,#6FA4AF,#D97D55,0.6819909481897695,0.09166711399949112,0.08751259135380762,0.937900034471077,0.004522917676317739,0.02621962413716461,0.8036322501816247,-0.02361793384386157,0.03142252706197557,0.685568573525619,-0.049264654020140464,-0.030916753445288547,0.6819909481897695,0.09166711399949112,0.08751259135380762,pastel,2612
f5f5f0e6d8c3c2a68c5d866c,#F5F5F0,#E6D8C3,#C2A68C,#5D866C,#F5F5F0,0.9687686818554864,-0.0018790274548972086,0.006229507829900727,0.8879414985629481,0.006597636949966734,0.03133681989782133,0.7430688634705445,0.020730455635641576,0.04407979096818382,0.5820510147165863,-0.055471341522116635,0.024434436417370642,0.9687686818554864,-0.0018790274548972086,0.006229507829900727,pastel,3314
696fc7a7aae1f5d3c4f2aebb,#696FC7,#A7AAE1,#F5D3C4,#F2AEBB,#696FC7,0.5779048057428566,0.019544607346493104,-0.13247351318176037,0.755289255970098,0.01627351540354338,-0.07725772241432483,0.891478056364657,0.030564456712359522,0.030700625583160335,0.8181621674550257,0.08061538714836236,0.008912868419640452,0.5779048057428566,0.019544607346493104,-0.13247351318176037,pastel,3785
e2a16ffff0ddd1d3d486b0bd,#E2A16F,#FFF0DD,#D1D3D4,#86B0BD,#E2A16F,0.7605442647041354,0.05371740684496418,0.08607059415567542,0.9619686531077596,0.008283302385552638,0.028598468580267378,0.865592333559579,-0.001709274782263126,-0.002052760308991708,0.7312738502741954,-0.03803120982211827,-0.030651073727390843,0.7605442647041354,0.05371740684496418,0.08607059415567542,pastel,2634
96a78db6ceb4d9e9cff0f0f0,#96A78D,#B6CEB4,#D9E9CF,#F0F0F0,#96A78D,0.7077177839913907,-0.029300430426588475,0.029534406801615343,0.8262676321021383,-0.035319052416362684,0.026461214919959453,0.9150592305428689,-0.026489195256274023,0.028068264161682732,0.9551417077554074,2.182953076079741e-06,-0.00010855421337474525,0.7077177839913907,-0.029300430426588475,0.029534406801615343,pastel,5838
f5efe6e8dfca6d94c5cbdceb,#F5EFE6,#E8DFCA,#6D94C5,#CBDCEB,#F5EFE6,0.9543275463005084,0.0027704757273236957,0.013223415371336644,0.9051943149667552,0.0012677247094203814,0.029558423164936398,0.6572508233072751,-0.02276698417541856,-0.08237355401465374,0.886309703353495,-0.011798514896960821,-0.025082232836291518,0.9543275463005084,0.0027704757273236957,0.013223415371336644,pastel,5094
f08787ffc7a7fee2adf8fab4,#F08787,#FFC7A7,#FEE2AD,#F8FAB4,#F08787,0.7370801833663808,0.12030999192392122,0.04522854005165933,0.87168980052388,0.04844412467992987,0.05997478623525532,0.9232568658292335,0.008850970755914567,0.07404541058485159,0.967258734798992,-0.02939852517782926,0.08370849281363102,0.7370801833663808,0.12030999192392122,0.04522854005165933,pastel,4854
a8bba3f7f4eaebd9d1b87c4c,#A8BBA3,#F7F4EA,#EBD9D1,#B87C4C,#A8BBA3,0.7707589782836454,-0.02992479955017835,0.025766653396623873,0.966734263216667,-0.0007074425289621544,0.013483360408373057,0.8976866828888916,0.015936247429076733,0.01616533848837831,0.6378213324508925,0.05155056840794958,0.08379493641798647,0.7707589782836454,-0.02992479955017835,0.025766653396623873,pastel,3573
5d688af7a5a5ffdbb6fff2ef,#5D688A,#F7A5A5,#FFDBB6,#FFF2EF,#5D688A,0.5215296753959139,0.0005053210286478649,-0.05562497003598699,0.8020891774334762,0.09201813365884992,0.032370124915104936,0.9125040547882646,0.023905865770780466,0.05812325043750255,0.9705075712803881,0.01227481192262525,0.007882172409283794,0.5215296753959139,0.0005053210286478649,-0.05562497003598699,pastel,4033
